Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
384,7,2,NO,1,5,6,YES,2,YES,K
385,7,2,NO,1,5,6,YES,2,YES,K
386,7,2,NO,1,5,6,YES,2,YES,K
387,7,4,YES,0,3,*,*,4,YES,D
388,7,3,NO,1,4,5,YES,3,YES,K
389,7,3,NO,1,4,5,YES,3,YES,K
390,7,2,NO,1,6,6,YES,2,YES,K
391,7,2,NO,1,5,6,YES,2,YES,K
392,7,2,NO,1,8,6,YES,2,YES,K
393,7,2,NO,1,6,5,NO,2,YES,K
394,7,2,NO,1,5,5,NO,2,YES,K
395,7,3,NO,1,4,5,YES,3,YES,K
396,7,2,NO,1,8,5,NO,2,YES,K
397,7,3,YES,0,4,*,*,3,YES,D
398,7,2,NO,1,6,6,YES,2,YES,K
399,7,2,NO,1,5,6,YES,2,YES,K
400,7,2,NO,1,5,6,YES,2,YES,K
401,7,2,NO,1,6,6,YES,2,YES,K
402,7,2,NO,1,6,6,YES,2,YES,K
403,7,2,NO,1,5,6,YES,2,YES,K
404,7,3,NO,1,4,5,YES,3,YES,K
405,7,2,NO,1,8,6,YES,2,YES,K
406,7,2,NO,1,6,6,YES,2,YES,K
407,7,3,YES,0,4,*,*,3,YES,D
408,7,2,NO,1,5,6,YES,2,YES,K
409,7,3,NO,1,4,4,NO,3,YES,K
410,7,2,NO,1,6,6,YES,2,YES,K
411,7,2,NO,1,8,6,YES,2,YES,K
412,7,2,NO,1,6,6,YES,2,YES,K
413,7,2,NO,1,5,6,YES,2,YES,K
414,7,2,NO,1,6,6,YES,2,YES,K
415,7,2,NO,1,5,6,YES,2,YES,K
416,7,2,NO,1,8,6,YES,2,YES,K
417,7,4,YES,0,5,*,*,4,YES,D
418,7,4,YES,0,3,*,*,4,YES,D
419,7,3,NO,1,6,5,YES,3,YES,K
420,7,3,NO,1,4,5,YES,3,YES,K
421,7,2,NO,1,6,6,YES,2,YES,K
422,7,2,NO,1,6,6,YES,2,YES,K
423,7,2,NO,1,5,6,YES,2,YES,K
424,7,3,NO,1,4,5,YES,3,YES,K
425,7,3,NO,1,6,5,YES,3,YES,K
426,7,3,NO,1,6,5,YES,3,YES,K
427,7,2,NO,1,8,6,YES,2,YES,K
428,7,2,NO,1,8,6,YES,2,YES,K
